gameId,championId,point
3020318140,45,38267.0
3020318140,412,100833.0
3020318140,35,67864.0
3020318140,222,26919.0
3020318140,84,38078.0
3020318140,245,95291.0
3020318140,67,33876.0
3020318140,43,17516.0
3020318140,59,98649.0
3020318140,141,26774.0
3020078707,22,120813.0
3020078707,17,875576.0
3020078707,43,45180.0
3020078707,38,10683.0
3020078707,203,19125.0
3020078707,145,17437.0
3020078707,62,18121.0
3020078707,120,17611.0
3020078707,143,78293.0
3020078707,1,96224.0
3019418717,517,4832.0
3019418717,238,107852.0
3019418717,16,111245.0
3019418717,86,15027.0
3019418717,222,6067.0
3019418717,90,15104.0
3019418717,64,116227.0
3019418717,14,12132.0
3019418717,412,144518.0
3019418717,119,188002.0
3024089998,3,13300.0
3024089998,254,315353.0
3024089998,24,26517.0
3024089998,81,15185.0
3024089998,157,698373.0
3024089998,15,93319.0
3024089998,134,2030.0
3024089998,114,24026.0
3024089998,62,32210.0
3024089998,117,18179.0
3023657084,64,104021.0
3023657084,92,14058.0
3023657084,90,260881.0
3023657084,145,37874.0
3023657084,25,32872.0
3023657084,111,26419.0
3023657084,72,20037.0
3023657084,110,116960.0
3023657084,157,316557.0
3023657084,81,99725.0
3023663264,107,43941.0
3023663264,117,76722.0
3023663264,31,2370.0
3023663264,15,18157.0
3023663264,84,7254.0
3023663264,145,67488.0
3023663264,55,41639.0
3023663264,39,307776.0
3023663264,16,171621.0
3023663264,77,2192.0
3023378090,81,155983.0
3023378090,61,195763.0
3023378090,99,24266.0
3023378090,11,27730.0
3023378090,10,30994.0
3023378090,63,22171.0
3023378090,72,20037.0
3023378090,41,144508.0
3023378090,236,20973.0
3023378090,92,226508.0
3022272070,412,51032.0
3022272070,236,16810.0
3022272070,56,21200.0
3022272070,13,40264.0
3022272070,91,16288.0
3022272070,42,22061.0
3022272070,23,191245.0
3022272070,110,100693.0
3022272070,16,39677.0
3022272070,28,170014.0
3021744331,111,1323.0
3021744331,141,71397.0
3021744331,122,29156.0
3021744331,112,232889.0
3021744331,110,56320.0
3021744331,254,1748419.0
3021744331,86,188235.0
3021744331,26,179709.0
3021744331,222,99355.0
3021744331,412,33347.0
3021705517,119,91813.0
3021705517,136,25801.0
3021705517,89,10742.0
3021705517,10,27966.0
3021705517,113,8806.0
3021705517,22,85287.0
3021705517,42,47622.0
3021705517,26,2171.0
3021705517,59,7178.0
3021705517,75,29773.0
3020959132,84,153162.0
3020959132,45,5205.0
3020959132,18,134270.0
3020959132,111,186683.0
3020959132,19,39493.0
3020959132,22,44033.0
3020959132,254,49828.0
3020959132,143,255634.0
3020959132,68,49076.0
3020959132,39,15215.0
3020543721,131,62963.0
3020543721,119,17093.0
3020543721,143,282554.0
3020543721,122,40096.0
3020543721,7,22543.0
3020543721,31,2587.0
3020543721,104,35638.0
3020543721,202,157975.0
3020543721,90,22468.0
3020543721,21,168334.0
3019338654,61,111734.0
3019338654,420,42158.0
3019338654,412,62044.0
3019338654,81,18269.0
3019338654,77,56474.0
3019338654,16,19881.0
